Data,Descrição,Valor
2025-03-06,LIGHT ENERGIA ELETRICA,-113.1
2025-03-08,IFOOD *RESTAURANTE,-685.85
2025-03-09,SALARIO EMPRESA XYZ,783.43
2025-03-10,LIGHT ENERGIA ELETRICA,-90.44
2025-03-11,PAGAMENTO RECEBIDO,2020.5
2025-03-12,UBER *TRIP,-136.69
2025-03-13,ACADEMIA SMART FIT,-364.65
2025-03-14,NETFLIX.COM,-459.55
2025-03-15,LIGHT ENERGIA ELETRICA,-640.24
2025-03-17,LIGHT ENERGIA ELETRICA,-147.04
2025-03-17,SABESP AGUA,-493.17
2025-03-18,LIGHT ENERGIA ELETRICA,-81.2
2025-03-18,AMAZON PRIME VIDEO,-397.53
2025-03-21,DROGARIA SAO PAULO,-241.97
2025-03-21,ESTACIONAMENTO SHOPPING,-510.18
2025-03-21,MAGAZINE LUIZA,-781.37
2025-03-23,UBER *TRIP,-740.98
2025-03-28,SALARIO EMPRESA XYZ,908.84
2025-03-29,TRANSFERENCIA RECEBIDA PIX,2538.11
2025-03-29,STEAM GAMES,-57.57
2025-03-31,PAGAMENTO RECEBIDO,842.61
2025-03-31,MERCADO LIVRE COMPRA,-188.39
2025-03-31,MERCADO LIVRE COMPRA,-413.3
2025-04-01,ESTACIONAMENTO SHOPPING,-168.33
2025-04-03,LIGHT ENERGIA ELETRICA,-461.82
2025-04-04,TRANSFERENCIA RECEBIDA PIX,3238.46
2025-04-08,TRANSFERENCIA RECEBIDA PIX,1111.36
2025-04-13,LIGHT ENERGIA ELETRICA,-201.76
2025-04-15,AMAZON PRIME VIDEO,-598.93
2025-04-16,SALARIO EMPRESA XYZ,1457.81
2025-04-18,ACADEMIA SMART FIT,-516.34
2025-04-18,FARMACIA DROGASIL,-706.36
2025-04-19,RAPPI ENTREGA,-453.51
2025-04-21,NETFLIX.COM,-776.86
2025-04-21,SALARIO EMPRESA XYZ,2252.4
2025-04-21,TRANSFERENCIA RECEBIDA PIX,2015.89
2025-04-24,PADARIA DO BAIRRO,-192.09
2025-04-28,ACADEMIA SMART FIT,-144.95
2025-04-28,AMAZON PRIME VIDEO,-826.33
2025-04-29,PAGAMENTO RECEBIDO,3193.46
2025-05-02,LIGHT ENERGIA ELETRICA,-652.83
2025-05-03,STEAM GAMES,-394.35
2025-05-04,LIGHT ENERGIA ELETRICA,-175.42
2025-05-06,SPOTIFY PREMIUM,-197.2
2025-05-07,FREELANCE DEPOSITO,4357.45
2025-05-08,POSTO SHELL COMBUSTIVEL,-397.22
2025-05-09,NETFLIX.COM,-608.3
2025-05-10,PAGAMENTO RECEBIDO,3221.13
2025-05-12,SALARIO EMPRESA XYZ,1350.51
2025-05-14,SABESP AGUA,-344.3
2025-05-15,SUPERMERCADO PAO DE ACUCAR,-646.92
2025-05-16,SUPERMERCADO PAO DE ACUCAR,-102.19
2025-05-19,SALARIO EMPRESA XYZ,2809.41
2025-05-21,AMAZON PRIME VIDEO,-214.2
2025-05-22,FARMACIA DROGASIL,-374.07
2025-05-22,DECATHLON ESPORTES,-621.16
2025-05-23,ESTACIONAMENTO SHOPPING,-193.61
2025-05-23,PAGAMENTO RECEBIDO,4375.99
2025-05-27,LIVRARIA CULTURA,-542.65
2025-05-30,SPOTIFY PREMIUM,-658.92
